"Entrez GeneId","Gene Symbol","Name","Genome Location","Chr Band","Somatic","Germline","Tumour Types(Somatic)","Tumour Types(Germline)","Cancer Syndrome","Tissue Type","Molecular Genetics","Role in Cancer","Mutation Types","Translocation Partner","Other Germline Mut","Other Syndrome","Synonyms","Uniprot_ID","Annotation"
1662,"DDX10","DEAD (Asp-Glu-Ala-Asp) box polypeptide 10","11:108665154-108940423","11q22-q23","yes","","AML*","","","L","Dom","TSG/fusion","T","NUP98","","","HRH-J8,1662,DDX10,ENSG00000178105,Q13206","Q13206","4 out of 5"
1785,"DNM2","dynamin 2","19:10718243-10831047","19p13.2","yes","","T-ALL","","","L","Rec","TSG","F, N, S, Mis, O","","yes","Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5","CMTDI1,1785,DNM2,ENSG00000079805,DYNII,DYN2,CMTDIB","P50570","5 out of 5"
1788,"DNMT3A","DNA (cytosine-5-)-methyltransferase 3 alpha","2:25234279-25313984","2p23","yes","","AML","","","L","Dom","TSG","Mis, F, N, S","","","","Q9Y6K1,DNMT3A,1788,ENSG00000119772,DNMT3A2,M_HsaIIIA","Q9Y6K1","5 out of 5"
1879,"EBF1","early B-cell factor 1","5:158699111-159099478","5q34","yes","","lipoma","","","M","Dom","","T","HMGA2","","","COE1,1879,EBF1,ENSG00000164330,Q9UH73,OLF1,O/E-1,EBF","Q9UH73","5 out of 5"
1956,"EGFR","epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)","7:55019278-55205617","7p12.3-p12.1","yes","yes","glioma, NSCLC","NSCLC","familial lung cancer","E, O","Dom","oncogene","A, O, Mis","","","","mENA,EGFR,1956,ENSG00000146648,P00533,ERBB1,ERBB","P00533","5 out of 5"
1974,"EIF4A2","eukaryotic translation initiation factor 4A, isoform 2","3:186783611-186789269","3q27.3","yes","","NHL","","","L","Dom","","T","BCL6","","","DDX2B,1974,EIF4A2,ENSG00000156976,EIF4F,BM-010,EIF4A","Q14240","5 out of 5"
2000,"ELF4","E74-like factor 4 (ets domain transcription factor)","X:130066721-130081330","Xq26","yes","","AML","","","L","Dom","onc/TSG/fusion","T","ERG","","","MEF,ELF4,2000,ENSG00000102034,ELFR,RP3-510O21_2,Q99607","Q99607","5 out of 5"
2005,"ELK4","ELK4, ETS-domain protein (SRF accessory protein 1)","1:205616546-205623882","1q32","yes","","prostate","","","E","Dom","oncogene/fusion","T","SLC45A3","","","SAP1,2005,ELK4,ENSG00000158711,P28324","P28324","5 out of 5"
2006,"ELN","elastin","7:74028188-74068700","7q11.23","yes","","B-ALL","","","L","Dom","","T","PAX5","yes","Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome","ENSG00000049540,2006,ELN,WS,WBS,SVAS,FLJ43523,FLJ38671","P15502","5 out of 5"
2033,"EP300","300 kd E1A-Binding protein gene","22:41093005-41178956","22q13","yes","","colorectal, breast, pancreatic, AML, ALL, DLBCL","","","L, E","Rec","TSG/fusion","T,  N, F, Mis, O","KMT2A, KAT6A","","","ENSG00000100393,2033,EP300,RP1-85F18_1,p300","Q09472","5 out of 5"
2034,"EPAS1","endothelial PAS domain protein 1","2:46297912-46384660","2p21-p16","yes","","paraganglioma, pheochromocytoma, central nervous system hemangioblastomas","","","E, M","Dom","oncogene/TSG","Mis","","yes","type 3 familial erythrocytosis","MOP2,EPAS1,2034,ENSG00000116016,PASD2,HIF2A,Q99814","Q99814","5 out of 5"
2060,"EPS15","epidermal growth factor receptor pathway substrate 15 (AF1p)","1:51356700-51519231","1p32","yes","","ALL","","","L","Dom","","T","KMT2A","","","AF-1P,EPS15,2060,ENSG00000085832,P42566,MLLT5,AF1P","P42566","5 out of 5"
2064,"ERBB2","v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)","17:39700239-39728044","17q21.1","yes","","breast, ovarian, other tumour types, NSCLC, gastric","","","E","Dom","oncogene/fusion","A, Mis, O","","","","c-erb B2,ERBB2,2064,P04626,ENSG00000141736,c-erbB2,HER-2/neu,HER2,TKR1,NEU,NGL,HER-2","P04626","5 out of 5"
2065,"ERBB3","erb-b2 receptor tyrosine kinase 3","12:56080301-56102055","12q13","yes","","colon, gastric, head and neck, bladder, skin","","","E","Dom","oncogene","Mis, N","","","","c-erbB3,ERBB3,2065,P21860,p180-ErbB3,c-erbB-3,ErbB-3,MDA-BF-1,HER3,p85-sErbB3,MGC88033,p45-sErbB3,ENSG00000065361,erbB3-S","P21860","5 out of 5"
2066,"ERBB4","erb-b2 receptor tyrosine kinase 4","2:211383615-212538530","2q33.3-q34","yes","yes","melanoma, gastric, NSCLC","","","E","Dom","oncogene/TSG","Mis, N","","yes","Amyotrophic lateral sclerosis 19","MGC138404,ERBB4,2066,ENSG00000178568,Q15303,p180erbB4,HER4","Q15303","5 out of 5"
2068,"ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)","19:45351629-45370237","19q13.2-q13.3","","yes","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (D)","E","Rec","TSG","Mis, N, F, S","","","","TTD,ERCC2,2068,ENSG00000104884,COFS2,P18074,MGC102762,XPD,MGC126219,MGC126218,EM9","P18074","5 out of 5"
2071,"ERCC3","excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)","2:127257596-127294081","2q21","","yes","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (B)","E","Rec","TSG","Mis, S","","","","RAD25,ERCC3,2071,ENSG00000163161,GTF2H,TFIIH,BTF2,P19447,XPB","P19447","5 out of 5"
2072,"ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","16:13920166-13948347","16p13.3-p13.13","","yes","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (F)","E","Rec","TSG","Mis, N, F","","","","XPF,ERCC4,2072,ENSG00000175595,Q92889","Q92889","5 out of 5"
2073,"ERCC5","excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))","13:102846267-102875903","13q33","","yes","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (G)","E","Rec","TSG","Mis, N, F","","","","XPGC,2073,ERCC5,ENSG00000134899,RP11-484I6_5,COFS3,XPG,UVDR,ERCM2","P28715","5 out of 5"
2078,"ERG","v-ets erythroblastosis virus E26 oncogene like (avian)","21:38383403-38575700","21q22.3","yes","","Ewing sarcoma, prostate, AML","","","M, E, L","Dom","oncogene/fusion","T","EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1","","","P11308,ERG,2078","P11308","5 out of 5"
2099,"ESR1","estrogen receptor 1","6:151807913-152098966","6q25.1","yes","","breast","","","E","Dom","onc/TSG/fusion","Mis","","","","ESR,2099,ESR1,ENSG00000091831,RP1-130E4_1,NR3A1,ESRA,DKFZp686N23123,ER,Era","P03372","5 out of 5"
2115,"ETV1","ets variant gene 1","7:13895866-13989052","7p22","yes","","Ewing sarcoma, prostate","","","M, E","Dom","oncogene/fusion","T","EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3","","","DKFZp781L0674,2115,ETV1,ENSG00000006468,ER81,MGC120533,MGC104699,MGC120534","P50549","5 out of 5"
2118,"ETV4","ets variant gene 4 (E1A enhancer binding protein, E1AF)","17:43528519-43545617","17q21","yes","","Ewing sarcoma, prostate carcinoma","","","M, E","Dom","oncogene/fusion","T","EWSR1, TMPRSS2, DDX5, KLK2, CANT1","","","PEA3,ETV4,2118,ENSG00000175832,E1AF,E1A-F,PEAS3","P43268","5 out of 5"
2119,"ETV5","ets variant gene 5","3:186048639-186105868","3q28","yes","","prostate","","","E","Dom","oncogene/fusion","T","TMPRSS2, SCL45A3","","","P41161,2119,ETV5,ENSG00000244405,ERM","P41161","5 out of 5"
2120,"ETV6","ets variant gene 6 (TEL oncogene)","12:11650128-11891046","12p13","yes","","congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS","","","L, E, M","Dom","oncogene/fusion","T","NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5","","","TEL/ABL,2120,ETV6,ENSG00000139083,P41212,TEL","P41212","5 out of 5"
2122,"MECOM","MDS1 and EVI1 complex locus","3:169084909-169131477","3q26.2","yes","","AML, CML, MDS","","","L","Dom","oncogene/fusion","T","RUNX1, ETV6, PRDM16, RPN1","","","MDS1-EVI1,EVI1,MECOM,2122,ENSG00000085276,Q03112,PRDM3","Q03112","5 out of 5"
2122,"MECOM","MDS1 and EVI1 complex locus","3:169084909-169131477","3q26.2","yes","","AML, CML, MDS","","","L","Dom","oncogene/fusion","T","RUNX1, ETV6, PRDM16, RPN1","","","MDS1-EVI1,EVI1,MECOM,2122,ENSG00000085276,Q03112,PRDM3","Q13465","3 out of 5"
2130,"EWSR1","Ewing sarcoma breakpoint region 1 (EWS)","22:29268337-29300161","22q12","yes","","Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma","","","L, M, E","Dom","oncogene/fusion","T","FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1","","","EWS,EWSR1,2130,ENSG00000182944","Q01844","5 out of 5"
2131,"EXT1","multiple exostoses type 1 gene","8:117799712-118111046","8q24.11-q24.13","","yes","","exostoses, osteosarcoma","multiple exostoses type 1","M","Rec","TSG/fusion","Mis, N, F, S","","","","ttv,EXT1,2131,ENSG00000182197,EXT,Q16394","Q16394","5 out of 5"
2132,"EXT2","multiple exostoses type 2 gene","11:44107713-44244287","11p12-p11","","yes","","exostoses, osteosarcoma","multiple exostoses type 2","M","Rec","TSG","Mis, N, F, S","","","","Q93063,ENSG00000151348,2132,EXT2,SOTV","Q93063","5 out of 5"
2146,"EZH2","enhancer of zeste homolog 2","7:148807646-148847298","7q35-q36","yes","","DLBCL","","","L","Dom","oncogene/TSG","Mis","","","","ENX-1,2146,EZH2,ENSG00000106462,Q15910,MGC9169","Q15910","5 out of 5"
2175,"FANCA","Fanconi anemia, complementation group A","16:89738601-89816615","16q24.3","","yes","","AML, leukaemia","Fanconi anaemia A","L","Rec","TSG","D, Mis, N, F, S","","","","MGC75158,2175,FANCA,ENSG00000187741,FA-H,FA,FAA,FANCH,FA1,FACA","O15360","5 out of 5"
2176,"FANCC","Fanconi anemia, complementation group C","9:95101707-95249291","9q22.3","","yes","","AML, leukaemia","Fanconi anaemia C","L","Rec","TSG","D, Mis, N, F, S","","","","ENSG00000158169,FANCC,2176,RP11-80I15_2,FAC,FA3,FACC,FLJ14675","Q00597","5 out of 5"
2177,"FANCD2","Fanconi anemia, complementation group D2","3:10028658-10098950","3p26","","yes","","AML, leukaemia","Fanconi anaemia D2","L","Rec","TSG","D, Mis, N, F","","","","FANCD,2177,FANCD2,ENSG00000144554,FLJ23826,FAD,FACD,FA4,FA-D2,FAD2,DKFZp762A223","Q9BXW9","5 out of 5"
2178,"FANCE","Fanconi anemia, complementation group E","6:35452546-35466345","6p21-p22","","yes","","AML, leukaemia","Fanconi anaemia E","L","Rec","TSG","N, F, S","","","","FACE,FANCE,2178,ENSG00000112039,FAE","Q9HB96","5 out of 5"
2181,"ACSL3","acyl-CoA synthetase long-chain family member 3","2:222908773-222941654","2q36","yes","","prostate","","","E","Dom","","T","ETV1","","","PRO2194,2181,ACSL3,ENSG00000123983,O95573,FACL3,ACS3","O95573","5 out of 5"
2188,"FANCF","Fanconi anemia, complementation group F","11:22624686-22625810","11p15","","yes","","AML, leukaemia","Fanconi anaemia F","L","Rec","TSG","N, F","","","","FAF,FANCF,2188,ENSG00000183161,Q9NPI8,MGC126856","Q9NPI8","5 out of 5"
2189,"FANCG","Fanconi anemia, complementation group G","9:35074108-35079524","9p13","","yes","","AML, leukaemia","Fanconi anaemia G","L","Rec","TSG","Mis, N, F, S","","","","ENSG00000221829,FANCG,2189,O15287,XRCC9,FAG","O15287","5 out of 5"
2195,"FAT1","FAT atypical cadherin 1","4:186588592-186709827","4q35.2","yes","yes","oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma","pancreatic","","E, L","","TSG","Mis, N, F, S","","","","CDHF7,2195,FAT1,ME5,hFat1,CDHR8","Q14517","5 out of 5"
2213,"FCGR2B","Fc fragment of IgG, low affinity IIb, receptor for (CD32)","1:161663242-161677553","1q23","yes","","ALL","","","L","Dom","oncogene/fusion","T","?","","","FCGR2,2213,FCGR2B,ENSG00000072694,CD32,CD32B,P31994,IGFR2,FCG2","P31994","5 out of 5"
2213,"FCGR2B","Fc fragment of IgG, low affinity IIb, receptor for (CD32)","1:161663242-161677553","1q23","yes","","ALL","","","L","Dom","oncogene/fusion","T","?","","","FCGR2,2213,FCGR2B,ENSG00000072694,CD32,CD32B,P31994,IGFR2,FCG2","P31995","5 out of 5"
2242,"FES","FES proto-oncogene, tyrosine kinase","15:90885046-90895558","15q26.1","yes","","HNSCC, ovarian carcinoma","","","E","","oncogene/TSG","Mis, F","","","","FPS,2242,FES,ENSG00000182511,P07332","P07332","5 out of 5"
2260,"FGFR1","fibroblast growth factor receptor 1","8:38413628-38457446","8p11.2-p11.1","yes","","MPN, NHL, salivary adenoma","","","L","Dom","oncogene/fusion","T","BCR, FOP, ZMYM2, CNTRL, PLAG1","yes","Pfeiffer syndrome, Kallman syndrome","CEK,2260,FGFR1,ENSG00000077782,P11362,FLT2,CD331,H3,HBGFR,FGFBR,H5,KAL2,H2,BFGFR,N-SAM,H4","P11362","5 out of 5"
2261,"FGFR3","fibroblast growth factor receptor 3","4:1793935-1807262","4p16.3","yes","","bladder, MM, T-cell lymphoma","","","L, E","Dom","oncogene/fusion","Mis, T","IGH, ETV6","yes","Hypochondroplasia, Thanatophoric dysplasia","CD333,FGFR3,2261,ENSG00000068078,P22607,JTK4,ACH,HSFGFR3EX,CEK2","P22607","5 out of 5"
2263,"FGFR2","fibroblast growth factor receptor 2","10:121479857-121593817","10q26","yes","","gastric, NSCLC, endometrial","","","E","Dom","oncogene/fusion","Mis","","yes","Crouzon, Pfeiffer, and Apert syndromes","BFR-1,2263,FGFR2,ENSG00000066468,TK14,BEK,CD332,JWS,TK25,ECT1,CEK3,K-SAM,CFD1,KGFR","P21802","5 out of 5"
2264,"FGFR4","fibroblast growth factor receptor 4","5:177089603-177097676","5q35.2","yes","","rhabdomyosarcoma","","","M","Dom","oncogene","Mis","","","","CD334,FGFR4,2264,ENSG00000160867,P22455,MGC20292,TKF,JTK2","P22455","5 out of 5"
2271,"FH","fumarate hydratase","1:241497828-241519722","1q42.1","","yes","","leiomyomatosis, renal","hereditary leiomyomatosis and renal cell cancer","E, M","Rec","TSG","Mis, N, F","","","","HLRCC,FH,2271,ENSG00000091483,MCUL1,MCL,LRCC,P07954","P07954","5 out of 5"
2272,"FHIT","fragile histidine triad gene","3:59752226-60536962","3p14.2","yes","","pleomorphic salivary gland adenoma","","","E","Dom","TSG","T","HMGA2","","","FHIT,P49789,FRA3B,AP3Aase,ENSG00000189283,2272","P49789","5 out of 5"
2308,"FOXO1","forkhead box O1","13:40555680-40666212","13q14.1","yes","","alveolar rhabdomyosarcoma","","","M","Dom","oncogene/TSG","T","PAX3, PAX7","","","Q12778,FOXO1A,2308,FOXO1,ENSG00000150907,FKH1,FKHR,FOXO1","Q12778","5 out of 5"
2309,"FOXO3","forkhead box O3","6:108561209-108664855","6q21","yes","","AL","","","L","Dom","oncogene/TSG","T","KMT2A","","","FKHRL1,2309,FOXO3,ENSG00000118689,MGC31925,MGC12739,FOXO2,FOXO3A,O43524,AF6q21,FKHRL1P2,DKFZp781A0677","O43524","5 out of 5"
2313,"FLI1","Friend leukemia virus integration 1","11:128694259-128810988","11q24","yes","","Ewing sarcoma","","","M","Dom","oncogene/fusion","T","EWSR1","","","SIC-1,2313,FLI1,ENSG00000151702,Q01543,EWSR2","Q01543","5 out of 5"
2322,"FLT3","fms-related tyrosine kinase 3","13:28004052-28100510","13q12","yes","","AML, ALL","","","L","Dom","oncogene","Mis, O","","","","STK1,2322,FLT3,ENSG00000122025,P36888,FLK2,CD135,RP11-153M24_3","P36888","5 out of 5"
2324,"FLT4","fms-related tyrosine kinase 4","5:180608281-180649545","5q35.3","yes","","soft tissue sarcoma","","","M","Dom","oncogene","","","","","FLT41,2324,FLT4,ENSG00000037280,P35916,VEGFR3,PCL","P35916","5 out of 5"
2475,"MTOR","mechanistic target of rapamycin","1:11107485-11259409","1p36","yes","","endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types","","","E","Dom","oncogene","Mis, N","","yes","Smith-Kingsmore syndrome, brain overgrowth phenotypes such as focal cortical dysplasia and megalencephaly,","FRAP2,FRAP1,MTOR,2475,ENSG00000198793,P42345,RAPT1,RAFT1,FRAP,FLJ44809,MTOR","P42345","5 out of 5"
2521,"FUS","fusion, derived from t(12;16) malignant liposarcoma","16:31180215-31191438","16p11.2","yes","","liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma","","","M, L","Dom","TSG/fusion","T","DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2","","","P35637,2521,FUS,ENSG00000089280,TLS/CHOP,FUS-CHOP,CHOP,FUS1,TLS","P35637","5 out of 5"
2531,"KDSR","3-ketodihydrosphingosine reductase","18:63331782-63367118","18q21.3","yes","","B-NHL","","","L","Dom","","T","IGK","","","Q06136,KDSR,2531,ENSG00000119537,FVT1","Q06136","5 out of 5"
2623,"GATA1","GATA binding protein 1 (globin transcription factor 1)","X:48791110-48794164","Xp11.23","yes","","megakaryoblastic leukaemia of Downs syndrome","","","L","Dom","oncogene/TSG","Mis, F","","","","ERYF1,P15976,GATA1,2623,ENSG00000102145,NFE1,GF1","P15976","5 out of 5"
2624,"GATA2","GATA binding protein 2","3:128481019-128487031","3q21.3","yes","","AML (CML blast transformation)","","","L","Dom","oncogene","Mis","","","","NFE1B,GATA2,2624,ENSG00000179348,MGC2306,P23769","P23769","5 out of 5"
2625,"GATA3","GATA binding protein 3","10:8055656-8074023","10p15","yes","","breast","","","E","Rec","oncogene/TSG","F, N, S","","yes","HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)","HDR,GATA3,2625,ENSG00000107485,MGC5445,MGC5199,MGC2346","P23771","5 out of 5"
2719,"GPC3","glypican 3","X:133536124-133985449","Xq26.1","","yes","","Wilms tumour","Simpson-Golabi-Behmel syndrome","O","Rec/X","","T, D, Mis, N, F, S","","","","OCI-5,GPC3,2719,ENSG00000147257,SGBS,SGB,DGSX,SDYS,P51654,AC002420_1,SGBS1","P51654","5 out of 5"
2767,"GNA11","guanine nucleotide binding protein (G protein), alpha 11 (Gq class)","19:3094652-3121179","19p13.3","yes","","uveal melanoma, primary central nervous system melanocytic neoplasms","","","E, O","Dom","oncogene","Mis","","","","GNA-11,GNA11,2767,ENSG00000088256","P29992","5 out of 5"
2776,"GNAQ","guanine nucleotide binding protein (G protein), q polypeptide","9:77721323-78031235","9q21","yes","","uveal melanoma, primary central nervous system melanocytic neoplasms","","","E, O","Dom","oncogene","Mis","","","","P50148,2776,GNAQ,ENSG00000156052,G-ALPHA-q,RP11-494N1_1,GAQ","P50148","5 out of 5"
2778,"GNAS","guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1","20:58891727-58910829","20q13.2","yes","","pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia","","","E, M","Dom","oncogene","Mis","","yes","McCune-Albright syndrome; pseudohypoparathyroidism, type IA","RP4-543J19_4,2778,GNAS,ENSG00000087460,NESP55,NESP,GSP,POH,GNASXL,GNAS1,C20orf45,dJ309F20_1_1,SCG6,GPSA,Gnas,dJ806M20_3_3,XL2,MGC33735,XL,PHP1A,GSA,AHO,XLalphas,PHP1B","O95467","5 out of 5"
2778,"GNAS","guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1","20:58891727-58910829","20q13.2","yes","","pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia","","","E, M","Dom","oncogene","Mis","","yes","McCune-Albright syndrome; pseudohypoparathyroidism, type IA","RP4-543J19_4,2778,GNAS,ENSG00000087460,NESP55,NESP,GSP,POH,GNASXL,GNAS1,C20orf45,dJ309F20_1_1,SCG6,GPSA,Gnas,dJ806M20_3_3,XL2,MGC33735,XL,PHP1A,GSA,AHO,XLalphas,PHP1B","P63092","5 out of 5"
2778,"GNAS","guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1","20:58891727-58910829","20q13.2","yes","","pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia","","","E, M","Dom","oncogene","Mis","","yes","McCune-Albright syndrome; pseudohypoparathyroidism, type IA","RP4-543J19_4,2778,GNAS,ENSG00000087460,NESP55,NESP,GSP,POH,GNASXL,GNAS1,C20orf45,dJ309F20_1_1,SCG6,GPSA,Gnas,dJ806M20_3_3,XL2,MGC33735,XL,PHP1A,GSA,AHO,XLalphas,PHP1B","P84996","5 out of 5"
2778,"GNAS","guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1","20:58891727-58910829","20q13.2","yes","","pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia","","","E, M","Dom","oncogene","Mis","","yes","McCune-Albright syndrome; pseudohypoparathyroidism, type IA","RP4-543J19_4,2778,GNAS,ENSG00000087460,NESP55,NESP,GSP,POH,GNASXL,GNAS1,C20orf45,dJ309F20_1_1,SCG6,GPSA,Gnas,dJ806M20_3_3,XL2,MGC33735,XL,PHP1A,GSA,AHO,XLalphas,PHP1B","Q5JWF2","5 out of 5"
2903,"GRIN2A","glutamate receptor, ionotropic, N-methyl D-aspartate 2A","16:9763149-10180411","16p13.2","yes","","melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma","","","E","Rec","TSG","Mis, N, F, O","","yes","Focal epilepsy and speech disorder with or without mental retardation","Q12879,2903,GRIN2A,ENSG00000183454,NMDAR2A,NR2A","Q12879","5 out of 5"
2956,"MSH6","mutS homolog 6 (E. coli)","2:47783234-47806860","2p16","yes","yes","colorectal","colorectal, endometrial, ovarian","hereditary non-polyposis colorectal cancer","E","Rec","TSG","Mis, N, F, S","","","","GTBP,MSH6,P52701,2956,ENSG00000116062,HSAP,HNPCC5","P52701","5 out of 5"
3084,"NRG1","neuregulin 1","8:32548727-32764402","8p12","yes","","NSCLC","","","E","Dom","TSG/fusion","T","CD74","","","ENSG00000157168,3084,SMDF,NDF,HRGA,HRG1,HGL,GGF2,GGF,ARIA,NRG1","Q02297","5 out of 5"
3091,"HIF1A","hypoxia inducible factor 1 alpha subunit","14:61695805-61747085","14q23.2","yes","","endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic","","","E, O","Dom","oncogene","Mis, F, N","","","","Q16665,3091,HIF1A,ENSG00000100644,MOP1,HIF1-ALPHA,PASD8,HIF-1alpha","Q16665","5 out of 5"
3092,"HIP1","huntingtin interacting protein 1","7:75538172-75738920","7q11.23","yes","","CMML, NSCLC","","","L, E","Dom","oncogene/fusion","T","PDGFRB, ALK","","","ILWEQ,HIP1,3092,ENSG00000127946","O00291","5 out of 5"
3105,"HLA-A","major histocompatibility complex, class I, A","6:29942554-29945455","6p21.3","yes","","Spitzoid tumour","","","E","Dom","","T","ROS1","yes","Carbamazepine-induced hypersensitivity syndrome","P01892,HLA-A,3105,ENSG00000206503,P16188,P30447,P13746,P04439","P04439","5 out of 5"
3105,"HLA-A","major histocompatibility complex, class I, A","6:29942554-29945455","6p21.3","yes","","Spitzoid tumour","","","E","Dom","","T","ROS1","yes","Carbamazepine-induced hypersensitivity syndrome","P01892,HLA-A,3105,ENSG00000206503,P16188,P30447,P13746,P04439","P30443","5 out of 5"
3110,"MNX1","motor neuron and pancreas homeobox 1","7:157005520-157010350","7q36","yes","","AML","","","L","Dom","","T","ETV6","yes","Currarino syndrome","HB9,3110,MNX1,ENSG00000130675,P50219,HLXB9","P50219","5 out of 5"
3131,"HLF","hepatic leukemia factor","17:55265486-55320880","17q22","yes","","ALL","","","L","Dom","oncogene/fusion","T","TCF3","","","Q16534,3131,HLF,ENSG00000108924","Q16534","5 out of 5"
3159,"HMGA1","high mobility group AT-hook 1","6:34240781-34244884","6p21","yes","","microfollicular thyroid adenoma, various benign mesenchymal tumours","","","E, M","Dom","oncogene/fusion","T","?","","","MGC4242,3159,HMGA1,ENSG00000137309,MGC12816,HMGIY,P17096,MGC4854,HMG-R","P17096","5 out of 5"
3169,"FOXA1","forkhead box A1","14:37591365-37594972","14q12-q13","yes","","breast, prostate","","","E","Dom","oncogene","Mis, F","","","","TCF3A,3169,FOXA1,ENSG00000129514,P55317,HNF3A,MGC33105","P55317","5 out of 5"
3181,"HNRNPA2B1","heterogeneous nuclear ribonucleoprotein A2/B1","7:26190125-26200577","7p15","yes","","prostate","","","E","Dom","","T","ETV1","","","ENSG00000122566,HNRNPA2B1,SNRPB1,RNPA2,HNRPB1,HNRPA2,HNRNPB1,HNRNPA2,3181","P22626","5 out of 5"
3195,"TLX1","T-cell leukemia, homeobox 1 (HOX11)","10:101131543-101136914","10q24","yes","","T-ALL","","","L","Dom","oncogene","T","TRB, TRD","","","P31314,TLX1,3195,ENSG00000107807,TCL3,HOX11","P31314","5 out of 5"
3205,"HOXA9","homeo box A9","7:27163603-27165457","7p15-p14.2","yes","","AML*","","","L","Dom","oncogene","T","NUP98, MSI2","","","HOX1,3205,HOXA9,ENSG00000078399,HOX1G,P31269","P31269","5 out of 5"
3207,"HOXA11","homeo box A11","7:27182796-27185144","7p15-p14.2","yes","","CML","","","L","Dom","oncogene","T","NUP98","","","HOX1,3207,HOXA11,ENSG00000005073,HOX1I,P31270","P31270","5 out of 5"
3209,"HOXA13","homeo box A13","7:27198198-27200077","7p15-p14.2","yes","","AML","","","L","Dom","oncogene","T","NUP98","","","P31271,HOXA13,3209,ENSG00000106031,HOX1J,HOX1","P31271","5 out of 5"
3227,"HOXC11","homeo box C11","12:53973243-53975414","12q13.3","yes","","AML","","","L","Dom","oncogene","T","NUP98","","","HOX3H,3227,HOXC11,ENSG00000123388,O43248","O43248","5 out of 5"
3229,"HOXC13","homeo box C13","12:53938908-53945257","12q13.3","yes","","AML","","","L","Dom","oncogene","T","NUP98","","","HOX3G,3229,HOXC13,ENSG00000123364,P31276,HOX3","P31276","4 out of 5"
3237,"HOXD11","homeo box D11","2:176107357-176109143","2q31-q32","yes","","AML","","","L","Dom","oncogene","T","NUP98","","","ENSG00000128713,3237,HOXD11","P31277","3 out of 5"
3239,"HOXD13","homeo box D13","2:176092916-176094731","2q31-q32","yes","","AML*","","","L","Dom","oncogene","T","NUP98","","","SPD,3239,HOXD13,P35453,HOX4I","P35453","5 out of 5"
3265,"HRAS","v-Ha-ras Harvey rat sarcoma viral oncogene homolog","11:532636-534322","11p15.5","yes","yes","infrequent sarcomas, rare other tumour types","rhabdomyosarcoma, ganglioneuroblastoma, bladder","Costello syndrome","E, L, M","Dom","oncogene","Mis","","","","K-ras,3265,HRAS,ENSG00000174775,HRAS1,RASH1,c-bas/has,P01112,N-ras","P01112","5 out of 5"
