ID,Organelle,Manual_annotation
P16403,Nucleus,
P16435,ER,
P16455,Nucleus,
P16615;P16615-4,ER,
P16885,,
P16930;P16930-2,,
P16949;P16949-2,Cytoplasm,
P16989;P16989-3,,
P17028,Nucleus,
P17050,,
P17066,,
P17096-2,Nucleus,
P17096;P17096-3,Nucleus,
P17152,Mitochondrion,
P17174;P17174-2,Cytoplasm,
P17252,,
P17275,Nucleus,
P17301,,Integrins
P17480,Nucleolus,
P17568,Mitochondrion,complex I
P17612,,
P17655,Cytoplasm,
P17693,,
P17706;P17706-2;P17706-3;P17706-4,,
P17812;P17812-2,,
P17844;P17844-2,Nucleolus,mRNA splicing
P17858;P17858-2,Cytoplasm,
P17900,,
P17931,,
P17980,,
P17987,Cytoplasm,
P18031,ER,
P18074;P18074-2,,
P18077,Ribosome,
P18084,,
P18085,,
P18124,Ribosome,
P18206-2;P18206,Cytoplasm,
P18433-4;P18433-2;P18433-3;P18433,,
P18440,Cytoplasm,
P18564;P18564-2,,
P18583-5;P18583-7;P18583;P18583-9;P18583-2;P18583-10;P18583-4,Nucleus,
P18615;P18615-4,Nucleus,
P18621;P18621-3;P18621-2,Ribosome,
P18669,,
P18754;P18754-2,,
P18858;P18858-2,Nucleus,
P18859;P18859-2,Mitochondrion,ATP synthase
P18887,Nucleus,
P19174-2;P19174,,
P19256-2;P19256-3;P19256,,
P19338,,nucleolar rRNA processing
P19367;P19367-4;P19367-2;P19367-3,Mitochondrion,
P19387,Nucleus,
P19388,Nucleus,
P19404,Mitochondrion,complex I
P19447,Nucleus,
P19474;P19474-2,,
P19525;P19525-2,,
P19623,,
P19784,,
P19793-2,Nucleus,
P19838;P19838-2;P19838-3,,
P19971;P19971-2,,
P20020-6;P20020-3;P20020-4;P20020;P20020-5;P20020-2,,
P20042,,
P20073-2;P20073,,
P20290,,
P20290-2,,
P20338,Cytoplasm,
P20339;P20339-2,Cytoplasm,
P20340-2;P20340-4,,
P20585,,
P20591;P20591-2,,
P20618,,
P20645,,
P20674,Mitochondrion,complex IV
P20700,Nucleus,
P20701;P20701-2,,
P20810-6;P20810-10;P20810-7;P20810-9;P20810;P20810-8;P20810-4,,
P20839-7;P20839-6;P20839;P20839-3;P20839-5;P20839-2;P20839-4,,
P20933,,
P20936-2;P20936-4;P20936,Cytoplasm,
P20962,,
P21127-8;P21127-2;P21127;P21127-3;P21127-6;P21127-9;P21127-10;P21127-12;P21127-4;P21127-5,,
P21266,Cytoplasm,
P21281,,
P21283,,
P21291,Nucleus,
P21333,Cytoplasm,
P21359;P21359-2;P21359-6;P21359-4,Nucleolus,
P21399,Cytoplasm,
P21589;P21589-2,,
P21796,Mitochondrion,VDAC
P21912,Mitochondrion,complex II
P21926,,
P21953,Mitochondrion,
P21964-2;P21964,Cytoplasm,
P21980;P21980-2,,
P22033,Mitochondrion,
P22059,ER,
P22061-2;P22061,Cytoplasm,
P22087,Nucleolus,nucleolar rRNA processing
P22102;P22102-2,,
P22234;P22234-2,,
P22307;P22307-8;P22307-7;P22307-4;P22307-2;P22307-6,Mitochondrion,
P22314;P22314-2,,
P22392-2,,
P22570-7;P22570;P22570-5;P22570-2,Mitochondrion,
P22626,,hnRNP
P22670,Nucleus,
P22681,Cytoplasm,
P22694-2,,
P22695,Mitochondrion,complex III
P22830;P22830-2,Mitochondrion,
P23193;P23193-2,Nucleus,
P23229-3;P23229;P23229-5,,Integrins
P23246;P23246-2,,mRNA splicing
P23258;Q9NRH3,Cytoplasm,
P23284,ER,
P23368;P23368-2,Mitochondrion,
P23378,Mitochondrion,
P23381;P23381-2,Cytoplasm,
P23396,Ribosome,
P23434,Mitochondrion,
P23443-5;P23443;P23443-4;P23443-3;P23443-2,,
P23458,,
P23469;P23469-2,Cytoplasm,
P23497,,
P23526;P23526-2,Cytoplasm,
P23527,Nucleus,
P23528,,
P23588;P23588-2,,
P23610,,
P23634-8;P23634;P23634-7;P23634-6;P23634-5;P23634-4;P23634-3;P23634-2,,
P23743,,
P23786,Mitochondrion,
P23919;P23919-2,,
P23921,Cytoplasm,
P24386,Cytoplasm,
P24534,,
P24539,Mitochondrion,ATP synthase
P24666;P24666-4,Cytoplasm,
P24723;P24723-2,Cytoplasm,
P24752,Mitochondrion,
P24928,Nucleus,
P24941;P24941-2,,
P25098,Cytoplasm,
P25205;P25205-2,Nucleus,
P25311,Secreted,
P25325-2,Mitochondrion,
P25398,Ribosome,
P25440;P25440-2;P25440-3,Nucleus,
P25490,Nucleus,
P25685,,
P25705;P25705-3,Mitochondrion,ATP synthase
P25774;P25774-2,,
P25786;P25786-2,,
P25787,,
P25788-2;P25788,,
P25789;P25789-2,,
P26006;P26006-1,,Integrins
P26038,Cytoplasm,
P26196,,
P26232-5;P26232-2;P26232;P26232-3,,
P26358-2,Nucleus,
P26368-2;P26368,Nucleus,mRNA splicing
P26373;P26373-2,Ribosome,
P26440;P26440-2,Mitochondrion,
P26447,,
P26572,,
P26583,,
P26599;P26599-2;P26599-3,Nucleus,mRNA splicing
P26639;P26639-2,Cytoplasm,
P26640,,
P26641;P26641-2,,
P26885,ER,
P27105,Cytoplasm,
P27144,Mitochondrion,
P27348,Cytoplasm,
P27361;P27361-2;P27361-3,,
P27448-3;P27448-4;P27448;P27448-8,,
P27449,,
P27540-3;P27540;P27540-4;P27540-2,Nucleus,
P27635,Ribosome,
P27694,Nucleus,
P27695,,SET
P27701;P27701-2,,
P27707,Nucleus,
P27708,,
P27797,,
P27816;P27816-6;P27816-2,Cytoplasm,
P27824;P27824-2;P27824-3,ER,
P27986;P27986-4,,
P28062,,
P28065;P28065-2,,
P28066;P28066-2,,
P28070,,
P28072,,
P28074;P28074-2,,
P28161;P28161-2,Cytoplasm,
P28288,,
P28290;P28290-2;P28290-3,Cytoplasm,
P28331;P28331-2;P28331-4;P28331-5;P28331-3,Mitochondrion,complex I
P28340,Nucleus,
P28482;P28482-2,,
P28676,Cytoplasm,
P28715,Nucleus,
P28799;P28799-2;P28799-3,Secreted,
P28838-2;P28838,Cytoplasm,
P28907,,
P29083,Nucleus,
P29084,Nucleus,
P29144,,
P29218;P29218-3;P29218-2,Cytoplasm,
P29317,,
P29350;P29350-3;P29350-2,,
P29353-7;P29353-6;P29353-2;P29353;P29353-3;P29353-5,Mitochondrion,
P29372-4;P29372-2;P29372-5;P29372,,
P29373,,
P29401;P29401-2,,
P29466-2;P29466,Cytoplasm,
P29590,,
P29692,Nucleus,
P29692-2,Nucleus,
P29692-3,Nucleus,
P29728-2,,
P29966,Cytoplasm,
P29992,Cytoplasm,
P30038;P30038-2;P30038-3,Mitochondrion,
P30040,ER,
P30041,Cytoplasm,
P30042;P30042-2,Mitochondrion,
P30043,Cytoplasm,
P30044;P30044-3;P30044-4,Mitochondrion,
P30046;P30046-2,Cytoplasm,
P30048-2;P30048,Mitochondrion,
P30049,Mitochondrion,ATP synthase
P30050;P30050-2,Ribosome,
P30084,Mitochondrion,
P30085,,
P30086,Cytoplasm,
P30101,ER,
P30153,Cytoplasm,
P30154;P30154-2;P30154-4;P30154-3;P30154-5,,
P30260-2;P30260,Nucleus,
P30405,Mitochondrion,
P30419;P30419-2,Cytoplasm,
P30447,,
P30453,,
P30455,,
P30480,,
P30481,,
P30491;P30685,,
P30504,,
P30519,ER,
P30520,Cytoplasm,
P30533,ER,
P30536,Mitochondrion,
P30566;P30566-2,,
P30622-1;P30622,Cytoplasm,
P30626-2;P30626,Cytoplasm,
P30711,Cytoplasm,
P30740,Cytoplasm,
P30825,,
P30837,Mitochondrion,
P30876,Nucleus,
P31040;P31040-2;P31040-3,Mitochondrion,complex II
P31146,Cytoplasm,Actin regulation
P31150,Cytoplasm,
P31153;P31153-2,,
P31327;P31327-3;P31327-2,,
P31350-2,Cytoplasm,
P31483;P31483-3,Nucleus,
P31689;P31689-2,,
P31749;P31749-2,,
P31751;P31751-2,,
P31930,Mitochondrion,complex III
P31937,Mitochondrion,
P31939;P31939-2,,
P31942-2;P31942;P31942-3,Nucleus,hnRNP
P31943,Nucleus,hnRNP
P31946,Cytoplasm,
P31946-2,Cytoplasm,
P31947;P31947-2,,
P31948;P31948-2;P31948-3,,
P31949,,
P32119,Cytoplasm,
P32189-1;P32189-4;P32189-2;P32189;Q14409,Mitochondrion,
P32321-2;P32321,,
P32322;P32322-3;P32322-2,Mitochondrion,
P32455,Secreted,
P32456,Cytoplasm,
P32519-2;P32519,Nucleus,
P32780;P32780-2,Nucleus,
P32929;P32929-3;P32929-2,Cytoplasm,
P32942,,
P32969,Ribosome,
P33121;P33121-2;P33121-3,,
P33176,Cytoplasm,
P33240-2;P33240,Nucleus,
P33241;P33241-3;P33241-2,,
P33316,,
P33316-2,,
P33527;P33527-3;P33527-9;P33527-2;P33527-4;P33527-5;P33527-7;P33527-6;P33527-8,,
P33991,Nucleus,
P33992,Nucleus,
P33993;P33993-3,Nucleus,
P34896;P34896-2;P34896-3;P34896-4,Cytoplasm,
P34897-3;P34897;P34897-2,,
P34913;P34913-2;P34913-3,Cytoplasm,
P34932,Cytoplasm,
P34949;P34949-2,Cytoplasm,
P35080-2,Cytoplasm,
P35221;P35221-2;P35221-3,Cytoplasm,
P35222,,
P35232,Mitochondrion,
P35236;P35236-2;P35236-3,Cytoplasm,
P35237,Cytoplasm,
P35240-8;P35240-3;P35240;P35240-2;P35240-5;P35240-6,,
P35241;P35241-5;P35241-4,Cytoplasm,
P35244,Nucleus,
P35249;P35249-2,Nucleus,
P35250;P35250-2,Nucleus,
P35251-2;P35251,Nucleus,
P35268,Ribosome,
P35269,Nucleus,
P35270,Cytoplasm,
P35520;P35520-2,,
P35573;P35573-2;P35573-3,Cytoplasm,
P35579;P35579-2,Cytoplasm,Myosins
P35580;P35580-5,,
P35606;P35606-2,Cytoplasm,
P35610;P35610-3;P35610-2,ER,
P35611;P35611-3;P35611-2;P35611-6;P35611-4;P35611-5,Cytoplasm,
P35613-2;P35613;P35613-4,,
P35637-2;P35637,Nucleus,
P35658-5,Nucleus,
P35659;P35659-2,Nucleus,
P35754,Cytoplasm,
P35813;P35813-2,,
P35908,,
P35914;P35914-3;P35914-2,Mitochondrion,
P35998;P35998-2,,
P36404;P36404-2,,
P36405,,
P36406-3;P36406-2;P36406,,
P36507,Cytoplasm,
P36542,Mitochondrion,ATP synthase
P36543,,
P36551,Mitochondrion,
P36578,Ribosome,
P36639;P36639-4;P36639-3;P36639-2,,
P36776-2;P36776,Mitochondrion,
P36871;P36871-2;P36871-3,Cytoplasm,
P36873;P36873-2,,
P36915;P36915-2,,
P36954,Nucleolus,
P36957,Mitochondrion,
P36969-2;P36969,Mitochondrion,
P37108,Cytoplasm,
P37198,,
P37235,,
P37268;P37268-2;P37268-3;P37268-5,ER,
P37802;P37802-2,,
P37837,Cytoplasm,
P38117,Mitochondrion,
P38159;P38159-2,Nucleus,mRNA splicing
P38432,Nucleus,
P38571-2;P38571,,
P38606,,
P38646,,
P38919,,EJC
P38935,,
P39019,Ribosome,
P39023,Ribosome,
P39656;P39656-3;P39656-2,ER,
P39687,,SET
P39748,,
P39880-3;P39880;P39880-2;P39880-4;P39880-5;P39880-6,Nucleus,
P40121;P40121-2,,
P40123;P40123-2,,
P40222,,
P40227;P40227-2,Cytoplasm,
P40261,Cytoplasm,
P40306,,
P40429,Ribosome,
P40616;P40616-2,,
P40692;P40692-3;P40692-2,Nucleus,
P40763;P40763-3,,
P40818;P40818-2,,
P40855;P40855-5,Cytoplasm,
P40925-3;P40925;P40925-2,Cytoplasm,
P40926;P40926-2,Mitochondrion,
P40937;P40937-2,Nucleus,
P40938;P40938-2,Nucleus,
P40939,Mitochondrion,
P41091;Q2VIR3;Q2VIR3-2,,
P41208,,
P41212,Nucleus,
P41214;P41214-2,Cytoplasm,
P41218,,
P41223;P41223-2,Nucleus,
P41226,,
P41227;P41227-2,,
P41229-5;P41229,Nucleus,
P41236;Q6NXS1,,
P41240,Cytoplasm,
P41250,Mitochondrion,
P41252,Cytoplasm,
P41567,,
P41743,,
P42025,Cytoplasm,
P42126;P42126-2,Mitochondrion,
P42166,Nucleus,
P42167,,
P42224,,
P42226;P42226-3,,
P42285,Nucleolus,
P42330,Cytoplasm,
P42345,,
P42356,Cytoplasm,
P42566;P42566-2,Cytoplasm,
P42574,Cytoplasm,
P42575;P42575-2,,
P42677,Ribosome,
P42694,Nucleus,
P42695,Nucleus,
P42696;P42696-2,Nucleolus,
P42704,,
P42765,Mitochondrion,
P42766,Ribosome,
P42768,Cytoplasm,
P42771;P42771-4;P42771-2,,
P42785;P42785-2,,
P42858,,
P42892-2,,
P43007,,
P43034,,
P43121,,
P43155-2;P43155;P43155-3,,
P43243,Nucleus,
P43246,Nucleus,
P43250-2;P43250-3;P43250,,
P43304;P43304-2,Mitochondrion,
P43307;P43307-2,ER,
P43378,Cytoplasm,
P43405,Cytoplasm,
P43487-2;P43487,,
P43490,,
P43686;P43686-2,,
P43897;P43897-2,Mitochondrion,
P45877,Cytoplasm,
P45880;P45880-2,Mitochondrion,VDAC
P45954;P45954-2,Mitochondrion,
P45973,Nucleus,
P45974-2;P45974,,
P45983-3;P45983-2;P45983-4;P45983;P45983-5,,
P45984-2;P45984;P45984-3;P45984-4;P45984-5,,
P45985;P45985-2,,
P46013,Nucleolus,
P46019,,
P46060,,
P46063,Nucleus,
P46087;P46087-4;P46087-2;P46087-3,Nucleolus,nucleolar rRNA processing
P46100;P46100-4;P46100-3;P46100-5;P46100-2,Nucleus,
P46108,Cytoplasm,
P46109,,
P46199,Mitochondrion,
P46379-2;P46379;P46379-3;P46379-5;P46379-4,,
P46459;P46459-2,Cytoplasm,
P46531,Nucleus,
P46734,,
P46736-2;P46736-3;P46736;P46736-5;P46736-4,,
P46776,Ribosome,
P46777,Ribosome,
P46778,Ribosome,
P46779,Ribosome,
P46781,Ribosome,
P46782,Ribosome,
P46783,Ribosome,
P46821,Cytoplasm,
P46926;P46926-2,Cytoplasm,
P46934-4,Cytoplasm,
P46937;P46937-9;P46937-6;P46937-7;P46937-2;P46937-8;P46937-5;P46937-3;P46937-4,,
P46939-2;P46939,Cytoplasm,
P46940,,
P46976-2;P46976;P46976-3,,
P46977;P46977-2,ER,
P47224,,
P47712,Cytoplasm,
P47755,,Actin regulation
P47756-2,Cytoplasm,
P47813,,
P47895,Cytoplasm,
P47897;P47897-2,Cytoplasm,
P47914,Ribosome,
P47985,Mitochondrion,complex III
P48047,Mitochondrion,ATP synthase
P48059-3,,
P48147,Cytoplasm,
P48163,Cytoplasm,
P48200,Cytoplasm,
P48382;P48382-2,Nucleus,
P48426;P48426-2,,
P48444;P48444-2,Cytoplasm,
P48449;P48449-3;P48449-2,ER,
P48506,,
P48507;P48507-2,,
P48553,,
P48556,,
P48634;P48634-3;P48634-2;P48634-4,,
P48637;P48637-2,,
P48643;P48643-2,Cytoplasm,
P48651;P48651-3,ER,
P48681,,
P48723,ER,
P48729;P48729-2,,
P48730-2,,
P48735;P48735-2,Mitochondrion,
P48739;P48739-2,Cytoplasm,
P48960-3;P48960-2;P48960,Secreted,
P49005,Nucleus,
P49006,Cytoplasm,
P49023,Cytoplasm,
P49137;P49137-2,,
P49189;P49189-2,Cytoplasm,
P49207,Ribosome,
P49247,,
P49257,ER,
P49321,,
P49327,Cytoplasm,
P49354;P49354-2,,
P49356;P49356-2,,
P49366;P49366-2;P49366-3,,
P49368,Cytoplasm,
P49406,Mitochondrion,
P49407-2,,
P49411,Mitochondrion,
P49419-2;P49419;P49419-4;P49419-3,,
P49427,,
P49441,,
P49454,,
P49458,Cytoplasm,
P49459;P49459-3;P49459-2,,
P49585,Cytoplasm,
P49588;P49588-2,Cytoplasm,
P49589-3,Cytoplasm,
P49590;P49590-2,Mitochondrion,
P49591,Cytoplasm,
P49593;P49593-2,,
P49642,,
P49643,,
P49662;P49662-2,,
P49711;P49711-2,Nucleus,
P49720,,
P49721,,
P49736,Nucleus,
P49748-3,Mitochondrion,
P49750-4;P49750;P49750-3,Nucleus,
P49753,Mitochondrion,
P49754-2;P49754-3;P49754,,
P49755,ER,
P49756,,
P49757-3;P49757,,
P49761;P49761-1;P49761-3,,
P49768-2;P49768;P49768-7;P49768-6;P49768-3;P49768-5,ER,
P49770,,
P49773,,
P49790;P49790-2,Nucleus,
P49792,Nucleus,
P49796;P49796-6;P49796-4;P49796-1;P49796-9,,
P49815-4;P49815;P49815-5;P49815-3;P49815-2;P49815-7;P49815-6,Cytoplasm,
P49821-2;P49821,Mitochondrion,complex I
P49840,,
P49841;P49841-2,,
P49848;P49848-3;P49848-2,Nucleus,
P49902;P49902-2,Cytoplasm,
P49903;P49903-2;P49903-4;P49903-3,,
P49914;P49914-2,Cytoplasm,
P49915;P49915-2,Cytoplasm,
P49916-3;P49916;P49916-4;P49916-2,,
P49917,Nucleus,
P49959;P49959-3;P49959-2,Nucleus,
P50148,Nucleus,
P50213,Mitochondrion,
P50225,Cytoplasm,
P50238,,
P50336,Mitochondrion,
P50395,Cytoplasm,
P50402,Nucleus,Actin regulation
P50416;P50416-2,Mitochondrion,
P50452;P50452-2,Cytoplasm,
P50453,Cytoplasm,
P50454,ER,
P50502;Q8NFI4,Cytoplasm,
P50552,Cytoplasm,
P50570,Cytoplasm,
P50570-4,Cytoplasm,
P50579;P50579-3,Cytoplasm,
P50583,,
P50613,,
P50748,,
P50750-2;P50750,,
P50851-2,ER,
P50897;P50897-2,Secreted,
P50914,Ribosome,
P50990;P50990-2,Cytoplasm,
P50991,Cytoplasm,
P50995-2;P50995,,
P51003,,
P51114;P51114-3,Cytoplasm,
P51116,Cytoplasm,
P51148;P51148-2,,
P51149,,
P51151,ER,
P51153,,
P51157;P51157-3,Cytoplasm,
P51159;P51159-2,,
P51398-2;P51398;P51398-3,Mitochondrion,
P51452,Nucleus,
P51531,Nucleus,
P51532-3;P51532-4;P51532-5;P51532-2,Nucleus,
P51553,Mitochondrion,
P51570;P51570-2,,
P51571,ER,
P51572;P51572-2,ER,
P51580,Cytoplasm,
P51608-2;P51608,Nucleus,
P51610-4,,
P51617-2;P51617,,
P51648;P51648-2,ER,
P51649;P51649-2,Mitochondrion,
P51659;P51659-3,,
P51665,,
P51668,Cytoplasm,
P51692,,
P51784,,
P51808,,
P51809;P51809-3,ER,
P51812,,
P51857;P51857-2;P51857-3,Cytoplasm,
P51858;P51858-3,,
P51946,Nucleus,
P51948;P51948-2,Nucleus,
P51970,Mitochondrion,complex I
P51991,Nucleus,hnRNP
P51991-2,Nucleus,hnRNP
P52209;P52209-2,Cytoplasm,
P52272;P52272-2,Nucleolus,hnRNP
P52292,,
P52294,,
P52298;P52298-3;P52298-2,,
P52306-5;P52306-4;P52306-6,,
P52429,Cytoplasm,
P52434;P52434-4;P52434-3,Nucleolus,
P52435;Q9H1A7;Q9GZM3,Nucleus,
P52565;P52565-2,Cytoplasm,
P52566,Cytoplasm,Rho GTPase regulation
P52594-2;P52594-3;P52594;P52594-4,Nucleus,
P52597,Nucleus,hnRNP
P52630,,
P52655,Nucleus,
P52701;P52701-3;P52701-4;P52701-2,Nucleus,
P52732,Cytoplasm,
P52735-3;P52735-2;P52735,,
P52747-2;P52747-3;P52747,Nucleus,
P52756,Nucleus,
P52758,,
P52788;P52788-2,,
P52789,Mitochondrion,
P52815,Mitochondrion,
P52888,Cytoplasm,
P52907,Cytoplasm,
P52943;P52943-2,,
P52948-5;P52948;P52948-2,Nucleus,Nuclear pore
P53004,Cytoplasm,
P53007,Mitochondrion,
P53041,,
P53350,,
P53365;P53365-3;P53365-2,,
P53367;P53367-3,,
P53384-2;P53384,,
P53396;P53396-2;P53396-3,Cytoplasm,
P53582,Cytoplasm,
P53597,Mitochondrion,
P53602,,
P53609;P53609-2,,
P53611,,
P53618,Cytoplasm,
P53621,Secreted,
P53634,,
P53667-4;P53667-2;P53667,,
P53675;P53675-2,,
P53680;P53680-2,,
P53701,Mitochondrion,
P53985;P53985-2,,
P53990-2;P53990-3,,
P53992,ER,
P53999,Nucleus,
P54105,,
P54132,Nucleus,
P54136,Cytoplasm,
P54278;P54278-3,Nucleus,
P54577,Cytoplasm,
P54578;P54578-2;P54578-3,Cytoplasm,
P54619-2;P54619,,
P54652,Cytoplasm,
P54687-5;P54687-4;P54687;P54687-3;P54687-2,Cytoplasm,
P54709;P54709-2,,
P54725-3,Nucleus,
P54727,,
P54802,,
P54819,Mitochondrion,
P54886;P54886-2,Mitochondrion,
P54920,,
P55010,,
P55011;P55011-3,,
P55036;P55036-2,,
P55039,Cytoplasm,
P55060;P55060-4,,
P55061,ER,
P55072,,
P55081,Nucleus,mRNA splicing
P55084;P55084-2,,
P55145,Secreted,
P55160;P55160-2,,Actin regulation
P55196;P55196-5;P55196-6,,
P55209-2;P55209,Nucleus,
P55210;P55210-3;P55210-4,Cytoplasm,
P55212,Cytoplasm,
P55263;P55263-2;P55263-4,,
P55265-4;P55265,,
P55327-2;P55327-3;P55327;P55327-7,,
P55735;P55735-3,,
P55769,Nucleolus,mRNA splicing
P55786,,
P55795,Nucleus,hnRNP
P55809,Mitochondrion,
P55854;P55854-2,,
P55884-2;P55884,Cytoplasm,
P55957-2,Mitochondrion,
P56134-2;P56134-4,Mitochondrion,ATP synthase
P56134;P56134-3,Mitochondrion,ATP synthase
P56181-2,Mitochondrion,
P56182,Nucleolus,
P56192;P56192-2,Cytoplasm,
P56270-2;P56270;P56270-3,Nucleus,
P56377,,
P56378;P56378-2,Mitochondrion,ATP synthase
P56381,Mitochondrion,
P56385,Mitochondrion,ATP synthase
P56537,,
P56545-2,Nucleus,
P56556,Mitochondrion,complex I
P56589,,
P56937-3;P56937;P56937-2,,
P56945;P56945-3,Cytoplasm,
P56962,ER,
P57076,Cytoplasm,
P57081;P57081-2,Nucleus,
P57088,,
P57105,Mitochondrion,
P57678,,
P57737-3,Cytoplasm,
P57740,Nucleus,Nuclear pore
P57764,Secreted,
P57772;P57772-2,,
P58107,Cytoplasm,
P58546,,
P59998;P59998-3,Cytoplasm,Arp2/3 complex
P60033,,
P60059,ER,
P60174-1;P60174-4,,
P60228,,
P60468,ER,
P60510,,
P60520,,
P60602,Mitochondrion,
P60604;P60604-2,,
P60660,,Myosins
P60709,Cytoplasm,Actins
P60842;P60842-2,,
P60866;P60866-2,Ribosome,
P60891,,
P60900;P60900-2;P60900-3,,
P60903,,
P60953,Cytoplasm,Rho GTPase
P60981;P60981-2,,
P60983,,
P61006;P61006-2,Cytoplasm,
P61009,ER,
P61011;P61011-2,,
P61018,,
P61019;P61019-2,ER,
P61020;P61020-2,,
P61024,,
P61026,ER,
P61077;P61077-3;P61077-2,,
P61081,,
P61086;P61086-3;P61086-2,Cytoplasm,
P61088,,
P61106,,
P61129,,
P61158,Cytoplasm,Arp2/3 complex
P61160;P61160-2,Cytoplasm,Arp2/3 complex
P61163,Cytoplasm,
P61165,,
P61201;P61201-2,,
P61221,Mitochondrion,
P61224;P61224-3;A6NIZ1;P61224-2,Cytoplasm,
P61225,,
P61244-2,Nucleus,
P61247,Ribosome,
P61254,Ribosome,
P61289;P61289-2,,
P61313,Ribosome,
P61326;P61326-2,,EJC
P61353,Ribosome,
P61421,,
P61457,,
P61513,Ribosome,
P61586,Cytoplasm,Rho GTPase
P61599,,
P61604,Mitochondrion,
P61619;P61619-3,ER,
P61626,Secreted,
P61758,,
P61764;P61764-2,Cytoplasm,
P61769,Secreted,
P61803,ER,
P61916;P61916-2,Secreted,
P61923;P61923-4;P61923-5;P61923-3,Cytoplasm,
P61956-2;P61956,Nucleus,
P61960;P61960-2,,
P61962,,
P61964,Nucleus,
P61966;P61966-2,,
P61970,,
P61978-2,,
P61978-3,,hnRNP
P61981,Cytoplasm,
P62070;P62070-4;P62070-3;P62070-2,,
P62072,Mitochondrion,
P62081,Ribosome,
P62136,,
P62140,,
P62158,Cytoplasm,
P62191,,
P62195;P62195-2,,
P62241,Ribosome,
P62244,Ribosome,
P62249,Ribosome,
P62253,,
P62256;P62256-2,,
P62258;P62258-2,Cytoplasm,
P62263,Ribosome,
P62266,Ribosome,
P62269,Ribosome,
P62273;P62273-2,Ribosome,
P62277,Ribosome,
P62280,Ribosome,
P62304,,Sm protein
P62306,,Sm protein
P62308;A8MWD9,,Sm protein
P62310,Nucleus,mRNA splicing
P62312,,
P62314,,Sm protein
P62316,,Sm protein
P62318-2;P62318,,Sm protein
P62328,Cytoplasm,
P62330,Cytoplasm,
P62333,,
P62341,,
P62380,,
P62424,Ribosome,
P62487,Nucleus,
P62491,,
P62495;P62495-2,Cytoplasm,
P62633-2;P62633;P62633-7,ER,
P62701,Ribosome,
P62750,Ribosome,
P62753,Ribosome,
P62805,Nucleus,
P62820;P62820-2;P62820-3,ER,
P62826,,
P62829,Ribosome,
P62834,Cytoplasm,
P62841,Ribosome,
P62847;P62847-2;P62847-3,Ribosome,
P62851,Ribosome,
P62854,Ribosome,
P62857,Ribosome,
P62861,Ribosome,
P62873;P62873-2,,G proteins
P62875,Nucleus,
P62877,,
P62879,Cytoplasm,G proteins
P62888,Ribosome,
P62899;P62899-3;P62899-2,Ribosome,
P62906,Ribosome,
P62910,Ribosome,
P62913,Ribosome,
P62913-2,Ribosome,
P62917,Ribosome,
P62937,Secreted,
P62942,Cytoplasm,
P62979,Ribosome,
P62993;P62993-2,,
P62995;P62995-3,Nucleus,mRNA splicing
P63000,Cytoplasm,
P63010;P63010-2,,
P63098,Cytoplasm,
P63104,Cytoplasm,
P63151;P63151-2,,
P63165,,
P63167,,
P63172,Cytoplasm,
P63173,Ribosome,
P63208;P63208-2,,
P63218,,
P63220,Ribosome,
P63241;P63241-2,,
P63244,,
P63261,Cytoplasm,
P63272,Nucleus,
P63279,,
P67775;P67775-2,,
P67809,,
P67812;P67812-4;P67812-2,ER,
P67870,,
P67936,Cytoplasm,Tropomyosin
P68032,Cytoplasm,Actins
P68036;P68036-3;P68036-2,,
P68104;Q5VTE0;P68104-2,,
P68363;P68363-2,Cytoplasm,
P68366-2;P68366,Cytoplasm,
P68371,Cytoplasm,
P68400;Q8NEV1;P68400-2,Nucleus,
P68402;P68402-3;P68402-2;P68402-4,Cytoplasm,
P68431,Nucleus,
P69905,,
P78316;P78316-2,Nucleolus,nucleolar rRNA processing
P78318,Cytoplasm,
P78330,,
P78332;P78332-2,Nucleus,
P78344,,
P78345,Nucleolus,
P78346-2;P78346,Nucleolus,
P78347-2;P78347-4;P78347-3;P78347,,
P78357,,
P78362;P78362-2,,
P78371,Cytoplasm,
P78406,,
P78417;P78417-3;P78417-2,Cytoplasm,
P78527;P78527-2,Nucleolus,
P78537;P78537-2,Mitochondrion,
P80217-2;P80217,Nucleus,
P80303-2;P80303,,
P80404,Mitochondrion,
P80723;P80723-2,,
P81605,Secreted,
P82094;P82094-2,,
P82650,Mitochondrion,
P82663;P82663-2,Mitochondrion,
P82664,Mitochondrion,
P82673;P82673-2,Mitochondrion,
P82675,Mitochondrion,
P82909,Mitochondrion,
P82912-2;P82912;P82912-3,Mitochondrion,
P82914,Mitochondrion,
P82921,Mitochondrion,
P82930,Mitochondrion,
P82932,Mitochondrion,
P82933,Mitochondrion,
P82970,Nucleus,
P82979,Nucleus,TREX
P83111;P83111-2,Mitochondrion,
P83436,,
P83731,Ribosome,
P83876,Nucleus,mRNA splicing
P83916,Nucleus,
P84022;P84022-3,,
P84077,Cytoplasm,
P84085,Cytoplasm,
P84090,,
P84095,,
P84098,Ribosome,
P84101-4;P84101;P84101-3;P84101-2,,
P84103-2;P84103,,mRNA splicing
P84243,Nucleus,
P85037;P85037-2,Nucleus,
P86791;P86790,,
P98082;P98082-3;P98082-2,Cytoplasm,
P98160,Secreted,
P98170,,
P98171;P98171-2,Cytoplasm,
P98175-2;P98175,Nucleus,
P98179,,
P98194-4;P98194;P98194-2,,
